--- 0 HYDROGEN BOND(S) SECTION ---
Folder,Percentage (%)
MD_01,80.20
MD_02,81.73
MD_03,67.74
MD_04,94.02
MD_05,81.17
AVERAGE,80.97
STANDARD DEVIATION,9.31


--- 1 HYDROGEN BOND(S) SECTION ---
Folder,Percentage (%)
MD_01,14.81
MD_02,15.36
MD_03,28.46
MD_04,4.75
MD_05,14.29
AVERAGE,15.53
STANDARD DEVIATION,8.45


--- 2 HYDROGEN BOND(S) SECTION ---
Folder,Percentage (%)
MD_01,4.26
MD_02,2.72
MD_03,3.60
MD_04,1.17
MD_05,4.25
AVERAGE,3.20
STANDARD DEVIATION,1.30


--- 3 HYDROGEN BOND(S) SECTION ---
Folder,Percentage (%)
MD_01,0.73
MD_02,0.19
MD_03,0.19
MD_04,0.06
MD_05,0.29
AVERAGE,0.29
STANDARD DEVIATION,0.26


