--- 0 HYDROGEN BOND(S) SECTION ---
Folder,Percentage (%)
MD_01,99.47
MD_02,98.56
MD_03,93.56
MD_04,45.07
MD_05,74.22
AVERAGE,82.18
STANDARD DEVIATION,23.11


--- 1 HYDROGEN BOND(S) SECTION ---
Folder,Percentage (%)
MD_01,0.25
MD_02,1.29
MD_03,1.53
MD_04,3.62
MD_05,4.64
AVERAGE,2.27
STANDARD DEVIATION,1.80


--- 2 HYDROGEN BOND(S) SECTION ---
Folder,Percentage (%)
MD_01,0.19
MD_02,0.12
MD_03,2.19
MD_04,18.80
MD_05,10.16
AVERAGE,6.30
STANDARD DEVIATION,8.12


--- 3 HYDROGEN BOND(S) SECTION ---
Folder,Percentage (%)
MD_01,0.08
MD_02,0.02
MD_03,2.51
MD_04,24.39
MD_05,10.81
AVERAGE,7.57
STANDARD DEVIATION,10.39


--- 4 HYDROGEN BOND(S) SECTION ---
Folder,Percentage (%)
MD_01,0.00
MD_02,0.00
MD_03,0.20
MD_04,7.83
MD_05,0.16
AVERAGE,1.64
STANDARD DEVIATION,3.46


--- 5 HYDROGEN BOND(S) SECTION ---
Folder,Percentage (%)
MD_01,0.00
MD_02,0.00
MD_03,0.00
MD_04,0.27
MD_05,0.00
AVERAGE,0.05
STANDARD DEVIATION,0.12


